Row.names	sig	Pattern	FC_x_axis	FC_y_axis	padj	ENTREZID
PRKD3	Sen_high	Pro = Qui > Sen	2.48349155430747	2.30501292109437	1.11022302462516e-16	23683
PRKG1	Sen_low	Pro < Sen < Qui	-1.31475094025095	-1.72286892974108	0	5592
PROCR	Sen_high	Pro > Qui > Sen	1.99999186598101	1.25492811984908	2.08177919347463e-12	10544
PROSER2	Sen_high	Pro = Qui > Sen	1.51505340819037	1.55867742315708	0	254427
PRPF4	Sen_high	Pro = Qui > Sen	1.15854727413501	1.07126132824923	1.11022302462516e-16	9128
PRPF40B	Sen_low	Pro < Sen < Qui	-1.14172844093673	-1.45710704790593	0	25766
PRPH2	Sen_low	Pro = Qui < Sen	-1.79911893444581	-2.02538580513825	3.33066907387547e-16	5961
PRR34-AS1	Sen_high	Pro = Qui > Sen	1.69702536147263	2.7670731140908	0	150381
PRR5L	Sen_high	Pro = Qui > Sen	2.3356757707207	2.25503332787825	0	79899
PRR7	Sen_high	Pro = Qui > Sen	1.37356312883074	1.78980001990968	0	80758
PRRT1	Sen_low	Pro < Sen < Qui	-1.73071684110631	-2.85519235877611	0	80863
PRRX1	Sen_low	Pro = Qui < Sen	-1.49542137388569	-2.77797181118583	2.28146823199049e-05	5396
PRRX2	Sen_low	Pro < Sen < Qui	-2.17191762370961	-2.9632206746948	0	51450
PRSS12	Sen_low	Pro = Qui < Sen	-3.5565754963065	-3.60103553128309	0	8492
PRSS27	Sen_low	Pro = Qui < Sen	-2.11134409045934	-2.9712968705554	0.000292906640654067	83886
PRSS3	Sen_high	Pro = Qui > Sen	6.06312097254081	6.67237436320299	0	5646
PRSS35	Sen_low	Pro < Qui < Sen	-2.54714793785286	-1.98272160571115	0	167681
PRTFDC1	Sen_low	Pro = Qui < Sen	-1.26087072441612	-1.58561480449258	4.31366053987858e-12	56952
PRUNE2	Sen_low	Pro = Qui < Sen	-4.92755562705827	-3.88721002863627	2.22044604925031e-16	158471
PRX	Sen_low	Pro < Sen < Qui	-1.01568358137462	-1.48444783868684	1.61846092083806e-11	57716
PSAT1	Sen_low	Pro < Qui < Sen	-4.36123978008611	-3.58015684167267	0	29968
PSD3	Sen_low	Pro < Sen < Qui	-1.49419758565381	-1.87835420616209	0	23362
PSENEN	Sen_high	Pro = Qui > Sen	1.24280382649495	1.36151777807441	0	55851
PSG1	Sen_high	Pro > Sen > Qui	1.69943323670924	5.80235198065624	0	5669
PSIP1	Sen_low	Pro = Qui < Sen	-1.53352751102712	-1.51692676296716	1.11022302462516e-16	11168
PSMC4	Sen_high	Pro = Qui > Sen	1.19738938243683	1.43899410052906	1.11022302462516e-16	5704
PSMD14	Sen_high	Pro > Sen > Qui	1.01173295662543	1.63298435917911	0	10213
PSMD2	Sen_high	Pro > Sen > Qui	1.65575463317983	2.05811797115695	0	5708
PSMD5-AS1	Sen_low	Pro = Qui < Sen	-2.18448331157049	-2.36757059098785	0	NA
PSMD8	Sen_high	Pro > Sen > Qui	1.04113418563771	1.36754343945767	0	5714
PSMG4	Sen_high	Pro = Qui > Sen	1.01701309154446	1.12619392742257	3.42450956480889e-10	389362
PTCH1	Sen_low	Pro = Qui < Sen	-2.31015474681597	-2.45973401449858	0	5727
PTCHD4	Sen_low	Pro < Sen < Qui	-1.10615214688837	-1.78254758793766	0	442213
PTER	Sen_low	Pro = Qui < Sen	-1.1327448783341	-1.05213749058025	2.25159801914288e-09	9317
PTGDS	Sen_low	Pro < Sen < Qui	-3.8770178231229	-7.40282626228174	4.42568648395536e-10	5730
PTGER2	Sen_low	Pro = Qui < Sen	-3.81942698919253	-3.7595876699235	0	5732
PTGER4	Sen_low	Pro < Sen < Qui	-1.06321049812015	-1.67223267262991	0	5734
